商品名,SKU,カテゴリ,仕入れ先,標準仕入れ単価,備考
商品1,Abc1,その他,中国代行業者,29,注文:2025123013354270-品番1
商品2,Abc2,その他,中国代行業者,766,注文:2026012020065996-品番1
商品3,Abc3,その他,中国代行業者,1845,注文:2026012020065996-品番2
商品4,Abc4,その他,中国代行業者,766,注文:2026012020065996-品番3
商品5,Abc5,その他,中国代行業者,710,注文:2026012020065996-品番4
商品6,Abc6,その他,中国代行業者,710,注文:2026012020065996-品番5
商品7,Abc7,その他,中国代行業者,1845,注文:2026012020065996-品番6
商品8,Abc8,その他,中国代行業者,660,注文:2026012020065996-品番7
商品9,Abc9,その他,中国代行業者,624,注文:2026012020065996-品番8
商品10,Abc10,その他,中国代行業者,753,注文:2026012020065996-品番9
商品11,Abc11,その他,中国代行業者,753,注文:2026012020065996-品番10
商品12,Abc12,その他,中国代行業者,654,注文:2026012020065996-品番11
商品13,Abc13,その他,中国代行業者,1278,注文:2026012020065996-品番12
商品14,Abc14,その他,中国代行業者,964,注文:2026012020065996-品番13
商品15,Abc15,その他,中国代行業者,1647,注文:2026012020065996-品番14
商品16,Abc16,その他,中国代行業者,1647,注文:2026012020065996-品番15
商品17,Abc17,その他,中国代行業者,1750,注文:2026012020065996-品番16
商品18,Abc18,その他,中国代行業者,8,注文:2026012020065996-品番17
商品19,Abc19,その他,中国代行業者,643,注文:2026012020065996-品番18
商品20,Abc20,その他,中国代行業者,828,注文:2026012020065996-品番19
