仕入れ日,商品名,SKU,仕入れ先,仕入れ単価,数量,送料,備考
2026-03-25,商品1,Abc1,中国代行業者,29,500,0,注文:2025123013354270-品番1
2026-03-25,商品2,Abc2,中国代行業者,766,3,0,注文:2026012020065996-品番1
2026-03-25,商品3,Abc3,中国代行業者,1845,2,0,注文:2026012020065996-品番2
2026-03-25,商品4,Abc4,中国代行業者,766,3,0,注文:2026012020065996-品番3
2026-03-25,商品5,Abc5,中国代行業者,710,3,0,注文:2026012020065996-品番4
2026-03-25,商品6,Abc6,中国代行業者,710,3,0,注文:2026012020065996-品番5
2026-03-25,商品7,Abc7,中国代行業者,1845,2,0,注文:2026012020065996-品番6
2026-03-25,商品8,Abc8,中国代行業者,660,4,0,注文:2026012020065996-品番7
2026-03-25,商品9,Abc9,中国代行業者,624,3,0,注文:2026012020065996-品番8
2026-03-25,商品10,Abc10,中国代行業者,753,4,0,注文:2026012020065996-品番9
2026-03-25,商品11,Abc11,中国代行業者,753,4,0,注文:2026012020065996-品番10
2026-03-25,商品12,Abc12,中国代行業者,654,4,0,注文:2026012020065996-品番11
2026-03-25,商品13,Abc13,中国代行業者,1278,5,0,注文:2026012020065996-品番12
2026-03-25,商品14,Abc14,中国代行業者,964,3,0,注文:2026012020065996-品番13
2026-03-25,商品15,Abc15,中国代行業者,1647,2,0,注文:2026012020065996-品番14
2026-03-25,商品16,Abc16,中国代行業者,1647,2,0,注文:2026012020065996-品番15
2026-03-25,商品17,Abc17,中国代行業者,1750,3,0,注文:2026012020065996-品番16
2026-03-25,商品18,Abc18,中国代行業者,8,200,0,注文:2026012020065996-品番17
2026-03-25,商品19,Abc19,中国代行業者,643,3,0,注文:2026012020065996-品番18
2026-03-25,商品20,Abc20,中国代行業者,828,5,0,注文:2026012020065996-品番19
